,name,arc140,arc141,arc142,arc143,arc144,arc145,arc146,arc147,arc148,arc149,arc150,arc151,arc152,arc153,arc154,arc155,arc156,arc157,arc158,arc159,arc160,arc161
0,DEGwer,,,,,,,,,,,,,,,,,2754,,,,,3200
1,kusano,2135,1776,2140,2425,1478,2459,2243,2138,1808,2550,1805,1925,2218,2255,0,2373,1743,2106,1436,2393,1379,3200
2,carrot46,2343,2540,2667,2578,2640,2342,,2421,2511,2271,2562,,,2396,,,2628,2321,2588,2642,2663,3200
3,risujiroh,0,0,0,,0,0,0,0,0,0,0,0,0,,2308,2621,2526,,,2006,2274,3200
4,physics0523,2578,2305,2618,2759,3061,,2458,2502,2569,2620,2763,1876,2359,2525,3033,2815,2212,2609,2051,2673,2655,3200
5,Nyaan,,0,0,0,,0,0,,,,0,0,,3163,3200,0,0,,,,,3102
6,karinohito,2223,2270,1753,1896,1956,2570,2169,2365,2441,2462,2042,2358,2579,2246,1730,2665,2073,2278,2768,2447,2255,3020
7,unsre,1636,1815,,0,1364,1471,1261,1741,1964,2565,1515,1840,1145,2047,1957,2040,1755,0,1327,0,0,2987
8,googol_S0,2133,2467,2899,2441,2468,3055,2191,2223,2550,2931,2574,2681,,2779,3091,2691,2595,3050,2220,2550,2942,2943
9,momoyuu,,,,,,,0,2516,1054,2280,1916,1416,1776,,,,,,1385,1885,1880,2929
10,MtSaka,1118,1853,,1253,1671,2027,0,1911,0,,,1973,1643,2311,1653,2153,1977,1893,2711,2280,,2881
11,TKTYI,2062,2454,2238,2432,2140,2824,2789,2404,2982,2223,2474,2209,2401,2291,2196,2904,3195,2681,2699,2882,3036,2806
12,tokusakurai,2509,2670,2399,2596,2913,2469,2593,2570,2652,2546,2791,2862,2712,2970,2559,2312,2421,2778,2478,3200,2741,2784
13,Asuka_Minato,,,,,,,,,,,,,,,,,,,,,2466,2776
14,KowerKoint,2045,1867,1709,2173,1205,2214,2162,,,1196,1959,2099,2348,2170,2198,2547,2146,1440,2511,1886,,2768
15,rniya,2615,2558,2392,2781,2616,2630,2530,1643,3058,1854,2798,2281,2334,2411,2441,2697,2113,2627,2383,2376,2929,2730
16,torisasami,2368,3025,2808,2565,2422,2935,2675,2554,2863,2093,2494,2371,,,,2295,,2399,0,2632,2426,2723
17,Kite_kuma,2936,2506,2710,2666,3200,3037,2468,2999,3200,2066,2829,2871,2651,2463,2554,2236,2806,2618,2505,3008,1832,2716
18,chinerist,2639,,2008,3105,2992,1965,3200,2427,3200,2633,,3143,2440,3200,2627,,,3200,1896,2938,0,2703
19,hir35,2437,2618,2791,2145,1553,2357,0,2255,1849,1729,2025,0,2560,2098,2919,2008,2204,1944,1807,1948,2084,2671
20,shiomusubi496,3156,2624,2221,2139,2670,2793,2289,2382,2470,3027,2273,2207,2490,2396,2461,3200,2877,2839,2694,2587,2687,2653
21,minato_,,,,,,,,,,,,,,,,,0,2353,,2200,2409,2630
22,riano_,2335,2689,1991,2570,2679,2501,2522,2804,2996,2438,2619,2130,,,2187,2884,,,2325,2826,,2625
23,leaf1415,2688,2597,2469,2725,2391,2221,2680,3013,2178,1415,2253,,3074,1997,2802,2219,2814,2962,2498,3042,3001,2619
24,okkuu2,1555,1975,2334,1260,2585,2293,2145,2322,2438,,2222,2635,2588,2244,,2608,2549,,2484,1983,0,2614
25,ttttan,2556,2523,2865,2384,2655,2248,2758,2774,2922,2678,2145,1891,3200,2487,2931,2386,2452,2358,2442,2209,2748,2609
26,zkou,2305,2445,2055,2332,2710,2250,2927,2586,2487,2487,2130,2660,2351,2578,2492,2617,2148,2472,2828,2009,,2588
27,nebocco,,,,,,,,,,,,,,,,,,,,,,2583
28,eijirou,2153,1873,2062,2083,2062,2511,1905,1998,2217,2133,1648,2121,2062,1522,2137,2807,1916,1695,2468,1857,1826,2574
29,HBit,2185,2333,2242,2157,2270,2283,2232,0,2581,2167,2390,2458,2733,2229,2450,2349,2373,2726,2075,2408,2756,2569
30,fuppy0716,2840,2198,2783,2624,0,2713,2511,2298,2115,,,2607,2132,0,1733,2199,2370,,3074,2647,2538,2564
31,MMNMM,,2761,2269,,2593,2543,2435,,2764,2337,1904,1887,2464,,2507,2738,2545,2285,2269,2423,2462,2559
32,MathGorilla,1898,2053,1697,1962,1525,2042,2704,1886,1843,2026,1923,2172,1874,1877,2251,1703,1482,1581,1555,2036,,2550
33,suisen,2912,2341,2015,2553,2560,2114,2546,2796,2484,2401,2626,2645,1944,1586,2730,2949,2618,2269,2903,2309,2779,2541
34,satanic0258,2300,2545,1853,2495,2400,2397,1850,1590,1633,2196,2053,2066,2272,2566,2400,2037,2079,2884,2139,2134,2551,2537
35,yupiteru,2797,1603,,,1988,1531,752,1599,,,1478,55,2047,1296,2373,445,2102,1351,1337,1908,1318,2528
36,w2w2,2105,2126,1663,2026,2025,1680,2044,2028,1973,2291,2037,2379,2250,2501,2580,2326,2472,,2159,2026,1887,2507
37,olphe,3104,2640,,2587,2296,2521,2328,2523,2456,2795,2757,2199,2356,,2370,2792,2401,1955,,2787,2795,2499
38,kumjin3141,2019,,1394,,0,,,1822,0,1710,2122,2128,1961,1991,0,0,1835,2385,2204,1898,2121,2487
39,chro4896,1745,2365,2087,2343,2201,2049,1845,1635,2128,2033,1861,2081,2093,1788,2129,2454,2151,2497,2143,1872,2269,2467
40,ytqm3,2351,2004,,1548,-85,,,,,,,,0,,58,2562,2775,1854,2526,2903,2675,2460
41,ikatakos,1949,2454,2010,1645,1932,2644,2060,1689,2201,2117,1979,2442,2002,2120,2585,2232,2097,1525,1604,1895,2146,2456
42,tktk_snsn,1874,1282,0,2161,1598,2122,2147,1393,1716,1662,,2048,1148,1504,2155,1693,,1856,,,362,2453
43,sounansya,2018,,2326,1756,1557,2174,2268,2257,2136,2415,,2148,1046,2551,2022,,2476,2455,2046,,1608,2428
44,tabr,2561,2664,3139,2605,1630,2424,2724,3200,3010,2909,3200,3099,0,2913,,3181,2614,2785,,3061,0,2421
45,drogskol,2116,2207,763,2537,1475,2244,2692,2102,2770,3123,3013,2351,2427,1311,2290,2640,2561,2866,197,2371,2095,2417
46,fact493,1521,1319,1460,1719,1638,2160,1931,1587,2431,2081,2540,0,,1885,1922,2247,1992,1640,,1972,1266,2414
47,ponjuice,2290,1518,1336,1737,2325,1238,1836,0,2193,1436,1404,,2454,0,2865,2172,2341,0,1885,2111,1380,2387
48,woodywoody,1707,1754,2046,1618,2142,965,1773,1627,2097,2207,1772,1982,1426,2389,,1726,2301,2575,2182,2062,2348,2384
49,emthrm,2596,2703,2323,3200,2333,2240,2320,2407,2709,2490,,2213,2279,2376,2648,2856,2623,2345,2119,2501,3098,2371
50,toku4388,0,,1938,1005,1548,936,1476,1670,2009,2086,1719,,1936,,,,,,,0,1298,2365
51,natsuneko,1260,1206,1471,1330,1438,2025,,1193,1766,1721,1672,1495,1714,1560,958,1857,1805,2072,2265,1759,1725,2359
52,semisagi,,,2424,,2440,,,,1945,,,,,2185,2234,2556,2822,,,,2342,2356
53,1_no_se,,,,,,,2059,2023,2543,2611,2014,2590,2339,2145,,,,,,2129,,2353
54,ytkn,2480,2362,2059,2274,2206,2186,2401,2439,1980,2573,2656,2167,2315,2874,2518,1724,2768,2356,2108,2613,2195,2344
55,akua,1518,1362,1028,1806,0,,,,1269,1588,1770,1736,1370,720,1719,1676,1378,1843,2352,2167,2033,2338
56,suo,1940,2117,,,,,,0,,,,,,,,1950,,,,,,2335
57,kuhaku,,2498,,,2199,,,,,,,,,,,,2125,0,0,2454,,2332
58,ecottea,2725,1803,2195,2444,1957,2335,2399,2666,2007,2382,2845,2338,2326,2368,2049,2381,2255,2361,2335,2182,2207,2329
59,east1016,1790,1642,2535,1595,1736,1835,2128,1761,2000,1868,2007,1302,2128,1861,1796,2354,0,1278,1338,2156,1710,2323
60,rabot,1824,,1739,1406,2310,1970,1641,,1656,1962,1960,1918,,,1986,,,,,1724,1971,2321
61,hiratai,1912,2350,1843,2018,2325,1859,2010,2182,2074,1754,2372,1879,1769,2194,2779,2680,1777,1991,1216,2595,2167,2306
62,KKT89,1909,0,1417,1647,1778,2142,1927,1595,1787,1795,1699,1558,1438,,0,2203,2221,1660,1417,2252,2183,2304
63,tempura0224,,,,,,,,,,,,,,,,,,,,,0,2301
64,TAB,,1891,1629,954,2449,1917,2134,2145,2534,1899,2166,1828,2686,1835,1724,2159,2206,1146,1956,1509,0,2295
65,chankei,1892,1995,2181,2095,1500,2045,,1440,,1789,989,1774,,,,,1831,1184,1574,1729,1679,2293
66,shobonvip,1550,2136,1639,1575,2749,1752,2396,,1746,1625,1752,1820,1852,1829,1864,2521,2009,2445,2357,1889,2517,2290
67,routea,,,,,,,,,,,2687,2049,,2295,2006,,2349,2155,2008,2508,1935,2287
68,convexineq,2766,2833,3168,2041,,2387,2503,2200,2370,1912,2872,2109,,,,,,,,,2454,2282
69,emankcin,1802,1733,2357,2044,2005,2125,1199,1868,1961,1508,1909,1562,2082,1808,1061,1850,1817,2019,2000,1528,1444,2274
70,rlangevin,1862,2011,1375,1613,2027,1606,1498,1389,1738,1290,315,1449,1822,2215,1467,1595,1364,1242,1364,1382,1801,2266
71,Alt3,1839,2106,0,2353,2337,2193,2617,1767,1435,1774,3176,2385,1802,1705,1882,0,0,,2261,2080,1906,2263
72,erbowl,1736,1404,963,1590,1231,657,1794,1480,1728,2198,1119,,,2097,,,,,1102,1594,1806,2243
73,Haa,,,2737,2478,2314,0,2143,2118,2784,2456,2076,,1418,2427,2189,2331,2020,2430,2332,1937,1834,2238
74,espressivosubito,1805,1743,1507,1772,1745,1977,1351,1642,2199,2404,1274,1139,1113,1740,1627,445,0,845,1323,1366,362,2225
75,tamato,2068,2927,2487,1962,2842,2359,2404,1832,2497,2250,2821,1880,2305,,,2550,2058,1917,2422,2512,2542,2223
76,zeta7532,1709,1453,2022,1573,,,1667,,,,0,1765,880,,1064,1666,1673,,,1892,,2220
